timestamp,distance,cycles,active time,activity type,active calories,timestamp 16,heart rate,intensity,duration min,ascent,descent
2023-09-01T15:40:00.000Z,,,,sedentary,,,,0,,,
,,,,,,47628,60,,,,
,,,,,,47688,64,,,,
,,,,,,47748,62,,,,
,,,,,,47808,61,,,,
2023-09-01T15:44:00.000Z,,,,sedentary,,,,3,,,
,,,,,,47868,60,,,,
2023-09-01T15:45:00.000Z,,,,sedentary,,,,0,,,
,,,,,,47928,66,,,,
,,,,,,47988,65,,,,
2023-09-01T15:48:00.000Z,,,,sedentary,,,,3,,,
,,,,,,48108,63,,,,
2023-09-01T15:49:00.000Z,,,,sedentary,,,,0,,,
,,,,,,48168,66,,,,
,,,,,,48228,62,,,,
,,,,,,48288,59,,,,
2023-09-01T15:52:00.000Z,,,,sedentary,,,,4,,,
,,,,,,48337,,,,2.581,
,,,,,,48347,,,,,2.328
,,,,,,48348,66,,,,
,,,,,,48397,,,,2.455,
,,,,,,48408,89,,,,
,,,,,,48437,,,,3.257,
,,,,,,48468,118,,,,
,,,,,,48528,117,,,,
,,,,,,48588,109,,,,
,,,,,,48648,104,,,,
,,7488,5878.000,walking,392,48648,,2,,,
,,,,,,48682,,,,2.628,
,,,,,,48708,99,,,,
,,,,,,48768,112,,,,
,,7697,5998.000,walking,399,48768,,2,,,
,,7742,6058.000,walking,404,48828,,1,,,
,,,,,,48888,98,,,,
,,,,,,48948,93,,,,
,,,,,,49008,89,,,,
,,,,,,49068,72,,,,
,,,,,,49128,78,,,,
,,,,,,49188,77,,,,
,,,,,,49248,74,,,,
,,,,,,49308,72,,,,
,,,,,,49368,79,,,,
,,,,,,49428,71,,,,
,,,,,,49488,75,,,,
,,,,,,49548,74,,,,
,,,,,,49608,75,,,,
,,,,,,49668,74,,,,
,,,,,,49848,76,,,,
,,,,,,49908,71,,,,
,,,,,,49968,75,,,,
2023-09-01T16:21:00.000Z,,,,sedentary,,,,4,,,
,,,,,,50088,79,,,,
2023-09-01T16:22:00.000Z,,,,sedentary,,,,0,,,
,,,,,,50148,80,,,,
,,,,,,50208,78,,,,
,,,,,,50268,80,,,,
2023-09-01T16:25:00.000Z,,,,sedentary,,,,3,,,
,,,,,,50328,75,,,,
,,,,,,50388,74,,,,
2023-09-01T16:27:00.000Z,,,,sedentary,,,,0,,,
